#EventID,Time,month,Latitude,Longitude,DepthInKm,Author,MagType,mag_range,Magnitude,EventLocationName,EventType
29030971,2021-11-30T08:21:34.960000,2021-11,46.3633,13.037,8.2,BULLETIN-INGV,ML,'2-3,2.5,1 km SW Cavazzo Carnico (UD),earthquake
29031281,2021-11-30T09:55:00.610000,2021-11,44.3157,10.6937,9.1,BULLETIN-INGV,ML,'2-3,2.1,3 km W Lama Mocogno (MO),earthquake
29032911,2021-11-30T13:05:25.460000,2021-11,44.4103,10.6,10.1,BULLETIN-INGV,ML,'2-3,2.2,5 km NE Toano (RE),earthquake
29035911,2021-11-30T19:08:46.250000,2021-11,42.639,13.1215,10.3,BULLETIN-INGV,ML,'2-3,2.9,4 km NW Cittareale (RI),earthquake
29036861,2021-11-30T21:24:24.300000,2021-11,42.8807,13.0903,10.5,BULLETIN-INGV,ML,'2-3,2.5,4 km E Preci (PG),earthquake
29037401,2021-11-30T23:23:33.920000,2021-11,44.8798,11.2343,8.8,BULLETIN-INGV,ML,'2-3,2,7 km NW Finale Emilia (MO),earthquake
29042691,2021-12-01T11:10:37.460000,2021-12,38.7195,14.1952,22.2,BULLETIN-INGV,ML,'2-3,2.5,Tirreno Meridionale (MARE),earthquake
29049641,2021-12-01T22:34:03.940000,2021-12,44.4235,10.7302,32.9,BULLETIN-INGV,ML,'2-3,2.8,3 km E Prignano sulla Secchia (MO),earthquake
29049721,2021-12-01T22:44:12.390000,2021-12,38.5385,14.9278,228.3,BULLETIN-INGV,ML,'3-4,3.8,Isole Eolie (Messina),earthquake
29049851,2021-12-01T22:58:19.770000,2021-12,44.8103,9.9098,29.8,BULLETIN-INGV,ML,'2-3,2.1,6 km W Salsomaggiore Terme (PR),earthquake
29050621,2021-12-02T01:40:48.340000,2021-12,44.4277,10.7468,29.7,BULLETIN-INGV,ML,'2-3,2.3,4 km W Serramazzoni (MO),earthquake
29051571,2021-12-02T05:41:33.960000,2021-12,38.5613,14.7452,6.9,BULLETIN-INGV,ML,'2-3,2.4,Isole Eolie (Messina),earthquake
29051731,2021-12-02T05:55:13.130000,2021-12,45.499,14.4555,10,BULLETIN-INGV,ML,'3-4,3.3,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29052001,2021-12-02T06:15:23.970000,2021-12,38.4725,15.4937,136.2,BULLETIN-INGV,ML,'2-3,2.8,Tirreno Meridionale (MARE),earthquake
29052151,2021-12-02T06:23:39.940000,2021-12,36.6297,14.2292,10,BULLETIN-INGV,ML,'2-3,2.2,Costa Ragusana (Ragusa),earthquake
29067031,2021-12-02T19:19:10.750000,2021-12,38.657,14.1508,9.4,BULLETIN-INGV,ML,'2-3,2.4,Tirreno Meridionale (MARE),earthquake
29070441,2021-12-02T23:07:30.250000,2021-12,40.4178,15.6565,9.1,BULLETIN-INGV,ML,'2-3,2,6 km E Sala Consilina (SA),earthquake
29072061,2021-12-03T07:37:54.390000,2021-12,44.4408,10.7398,28.4,BULLETIN-INGV,ML,'2-3,2.8,4 km E Prignano sulla Secchia (MO),earthquake
29073691,2021-12-03T11:37:55.600000,2021-12,40.4243,15.6478,8.6,BULLETIN-INGV,ML,'2-3,2.2,5 km E Sala Consilina (SA),earthquake
29073911,2021-12-03T12:01:47.300000,2021-12,37.7303,15.1017,8.7,BULLETIN-INGV,ML,'2-3,2.3,1 km W Milo (CT),earthquake
29074151,2021-12-03T12:10:59.390000,2021-12,40.8247,14.127,1.7,BULLETIN-INGV,Md,'2-3,2.1,Campi Flegrei,earthquake
29076171,2021-12-03T17:46:30.740000,2021-12,42.978,13.149,16.5,BULLETIN-INGV,ML,'2-3,2.3,4 km N Ussita (MC),earthquake
29078101,2021-12-03T22:25:12.810000,2021-12,41.9073,15.8617,24,BULLETIN-INGV,ML,'2-3,2,3 km SW Rodi Garganico (FG),earthquake
29079441,2021-12-04T08:05:09.240000,2021-12,44.5608,10.407,21.9,BULLETIN-INGV,ML,'2-3,2.5,4 km S Canossa (RE),earthquake
29079641,2021-12-04T08:17:58.250000,2021-12,38.7033,14.1635,22.8,BULLETIN-INGV,ML,'3-4,3.4,Tirreno Meridionale (MARE),earthquake
29085481,2021-12-04T15:45:40.340000,2021-12,43.205,11.037,6.3,BULLETIN-INGV,ML,'2-3,2,6 km S Radicondoli (SI),earthquake
29087711,2021-12-04T20:40:36.400000,2021-12,38.567,14.4442,16.4,BULLETIN-INGV,ML,'2-3,2.8,Isole Eolie (Messina),earthquake
29101581,2021-12-05T19:08:29.610000,2021-12,45.4058,14.4118,10,BULLETIN-INGV,ML,'2-3,2.1,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29102921,2021-12-06T04:00:06.100000,2021-12,39.4218,15.9623,54.3,BULLETIN-INGV,ML,'2-3,2,Costa Calabra nord-occidentale (Cosenza),earthquake
29103301,2021-12-06T05:45:26.400000,2021-12,38.5108,14.4497,5.7,BULLETIN-INGV,ML,'2-3,2.2,Isole Eolie (Messina),earthquake
29106191,2021-12-06T15:49:32.560000,2021-12,38.9637,16.4048,9.7,BULLETIN-INGV,ML,'2-3,2.5,1 km E Feroleto Antico (CZ),earthquake
29108191,2021-12-06T19:06:39.040000,2021-12,41.0953,15.2948,10.5,BULLETIN-INGV,ML,'2-3,2.2,Scampitella (AV),earthquake
29109801,2021-12-06T22:58:10.000000,2021-12,41.8005,15.9497,27.3,BULLETIN-INGV,ML,'2-3,2.3,9 km SE Carpino (FG),earthquake
29109961,2021-12-06T23:18:03.750000,2021-12,38.5952,13.6007,10,BULLETIN-INGV,ML,'2-3,2.8,Tirreno Meridionale (MARE),earthquake
29110291,2021-12-07T02:05:00.560000,2021-12,45.4753,14.443,7.9,BULLETIN-INGV,ML,'2-3,2.4,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29110371,2021-12-07T02:45:16.230000,2021-12,45.4727,14.4328,7.6,BULLETIN-INGV,ML,'2-3,2.6,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29117631,2021-12-07T22:26:51.960000,2021-12,44.422,10.7172,26.4,BULLETIN-INGV,ML,'2-3,2.2,3 km SE Prignano sulla Secchia (MO),earthquake
29117851,2021-12-07T23:32:49.490000,2021-12,39.0433,16.3878,19.1,BULLETIN-INGV,ML,'2-3,2.2,3 km E Decollatura (CZ),earthquake
29118551,2021-12-08T03:52:47.740000,2021-12,39.6618,16.8392,21.6,BULLETIN-INGV,ML,'2-3,2,Costa Ionica Cosentina (Cosenza),earthquake
29118891,2021-12-08T06:05:10.140000,2021-12,37.3943,14.5377,34,BULLETIN-INGV,ML,'2-3,2.1,8 km E Aidone (EN),earthquake
29120601,2021-12-08T09:53:50.190000,2021-12,43.036,13.1133,9.5,BULLETIN-INGV,ML,'2-3,2.2,2 km E Fiordimonte (MC),earthquake
29123221,2021-12-08T13:27:18.000000,2021-12,41.9658,13.6805,9.4,BULLETIN-INGV,ML,'2-3,2,2 km NW Gioia dei Marsi (AQ),earthquake
29123941,2021-12-08T14:05:40.080000,2021-12,44.4223,10.669,31.6,BULLETIN-INGV,ML,'2-3,2.5,2 km SW Prignano sulla Secchia (MO),earthquake
29127101,2021-12-08T19:21:06.190000,2021-12,38.6908,14.2178,26.2,BULLETIN-INGV,ML,'2-3,2.1,Isole Eolie (Messina),earthquake
29131111,2021-12-08T22:48:48.270000,2021-12,44.4248,10.7362,29.2,BULLETIN-INGV,ML,'2-3,2.3,4 km E Prignano sulla Secchia (MO),earthquake
29133871,2021-12-09T03:33:21.420000,2021-12,37.2743,16.9178,38.4,BULLETIN-INGV,ML,'2-3,2.8,Mar Ionio Meridionale (MARE),earthquake
29139771,2021-12-09T23:38:58.040000,2021-12,44.4165,10.7033,29.2,BULLETIN-INGV,ML,'2-3,2,2 km SE Prignano sulla Secchia (MO),earthquake
29140171,2021-12-10T04:08:31.230000,2021-12,39.4612,16.061,27.1,BULLETIN-INGV,ML,'2-3,2,5 km W Rota Greca (CS),earthquake
29143141,2021-12-10T12:07:38.980000,2021-12,38.7497,14.2228,21.1,BULLETIN-INGV,ML,'2-3,2.3,Tirreno Meridionale (MARE),earthquake
29147141,2021-12-10T23:08:11.220000,2021-12,47.4283,7.5912,10,BULLETIN-INGV,ML,'2-3,2.8,"V3 Basilea (SVIZZERA, FRANCIA, GERMANIA)",earthquake
29147781,2021-12-11T00:53:35.240000,2021-12,39.1892,15.7728,59.1,BULLETIN-INGV,ML,'2-3,2.2,Costa Calabra nord-occidentale (Cosenza),earthquake
29148541,2021-12-11T05:59:01.500000,2021-12,38.3673,14.6097,7.9,BULLETIN-INGV,ML,'2-3,2.3,Costa Siciliana nord-orientale (Messina),earthquake
29159851,2021-12-12T19:54:26.620000,2021-12,36.8625,14.7358,21.6,BULLETIN-INGV,ML,'2-3,2.3,2 km W Modica (RG),earthquake
29161211,2021-12-13T02:29:09.390000,2021-12,39.3308,15.8258,119.5,BULLETIN-INGV,ML,'2-3,2.3,Costa Calabra nord-occidentale (Cosenza),earthquake
29161451,2021-12-13T04:22:11.810000,2021-12,38.7212,14.1813,31.1,BULLETIN-INGV,ML,'2-3,2.4,Tirreno Meridionale (MARE),earthquake
29167281,2021-12-13T18:11:43.350000,2021-12,38.4547,15.0933,9.1,BULLETIN-INGV,ML,'2-3,2.2,Isole Eolie (Messina),earthquake
29170741,2021-12-14T01:45:50.150000,2021-12,42.5328,13.3543,12.5,BULLETIN-INGV,ML,'2-3,2.2,3 km SW Campotosto (AQ),earthquake
29172451,2021-12-14T05:34:06.140000,2021-12,43.0278,13.3057,22.6,BULLETIN-INGV,ML,'3-4,3.3,1 km SE Sarnano (MC),earthquake
29172521,2021-12-14T05:34:50.200000,2021-12,43.032,13.2992,25.7,BULLETIN-INGV,ML,'2-3,2.2,1 km SW Sarnano (MC),earthquake
29172661,2021-12-14T05:39:11.010000,2021-12,43.029,13.3113,25.1,BULLETIN-INGV,ML,'2-3,2,1 km SE Sarnano (MC),earthquake
29177461,2021-12-14T09:58:28.070000,2021-12,45.8057,11.2637,10.6,BULLETIN-INGV,ML,'2-3,2.3,2 km N Posina (VI),earthquake
29179201,2021-12-14T11:52:48.210000,2021-12,42.6012,15.9922,10.6,BULLETIN-INGV,ML,'2-3,2.7,Adriatico Centrale (MARE),earthquake
29182111,2021-12-14T14:38:47.540000,2021-12,44.4325,10.7383,26,BULLETIN-INGV,ML,'2-3,2,4 km E Prignano sulla Secchia (MO),earthquake
29185731,2021-12-14T19:39:56.410000,2021-12,42.7132,13.1827,10.1,BULLETIN-INGV,ML,'2-3,2.2,6 km W Accumoli (RI),earthquake
29187721,2021-12-15T00:14:16.470000,2021-12,38.4735,16.2493,10.3,BULLETIN-INGV,ML,'2-3,2.5,5 km W Fabrizia (VV),earthquake
29188361,2021-12-15T03:41:01.140000,2021-12,39.2868,16.216,55.5,BULLETIN-INGV,ML,'2-3,2,3 km SE Castrolibero (CS),earthquake
29193361,2021-12-15T14:59:15.000000,2021-12,45.5972,14.4417,10.3,BULLETIN-INGV,ML,'2-3,2.8,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29193781,2021-12-15T15:24:07.870000,2021-12,45.6188,14.4402,10,BULLETIN-INGV,ML,'2-3,2.1,"Confine Slovenia-Croazia (SLOVENIA, CROAZIA)",earthquake
29195781,2021-12-16T00:07:22.230000,2021-12,43.0307,13.3008,23.3,BULLETIN-INGV,ML,'2-3,2.2,1 km S Sarnano (MC),earthquake
29196391,2021-12-16T03:48:03.610000,2021-12,39.74,16.6625,26.7,BULLETIN-INGV,ML,'2-3,2.6,Costa Ionica Cosentina (Cosenza),earthquake
29197461,2021-12-16T07:43:55.260000,2021-12,42.9552,6.4588,0.1,BULLETIN-INGV,ML,'2-3,2.3,Costa Francese (FRANCIA),controlled explosion
