country,year,gender,age,share_first_quintile_inc,share_second_quintile_inc,share_third_quintile_inc,share_fourth_quintile_inc,share_fifth_quintile_inc,share_bottom50_inc,share_top10_pct_inc,share_top5_pct_inc,share_top1_pct_inc,share_top0_5_pct_inc,share_top0_1_pct_inc,share_top0_01_pct_inc,gini_coefficient,Pareto_tail_index_5pct,Pareto_tail_index_1pct,nobs_log_inc,mean_log_inc,std_log_inc,kelley_log_inc,crows_log_inc
ARG,1996,Female,25-34,3.0185845,9.0655766,15.475543,22.178661,50.261635,19.205378,33.251434,21.312267,7.0173163,4.2423625,1.3088297,0.29858851,0.46364209,,,11715.0,11.961543,1.0015014,-0.26412433,3.3100142
ARG,1997,Female,25-34,2.7512386,8.5717173,15.093256,21.93825,51.67387,18.159906,34.564827,22.370129,7.7010465,4.8145814,1.6316881,0.37750417,0.48004422,,,13206.0,11.918437,1.0355002,-0.26310009,3.2724128
ARG,1998,Female,25-34,2.971586,8.9110699,14.834162,21.936543,51.368725,18.654215,34.374763,22.277241,7.5545459,4.6950316,1.513346,0.36924869,0.47436565,,,14351.0,11.976624,1.0089669,-0.22393371,3.4105031
ARG,1999,Female,25-34,2.930568,9.0149899,14.759467,21.849911,51.46674,18.750835,34.724991,22.80471,8.2216549,5.3197751,2.197242,1.0066381,0.47583333,,,14556.0,12.02642,1.0172815,-0.23374175,3.5092041
ARG,2000,Female,25-34,2.9455085,8.9470205,14.720999,22.00489,51.402336,18.646276,34.525387,22.574396,7.7063599,4.7591858,1.6152747,0.2804628,0.47540608,,,15266.0,12.043013,1.0100359,-0.22167575,3.4357285
ARG,2001,Female,25-34,3.0677326,9.0315409,14.73244,21.847651,51.320637,18.869141,34.679073,22.742777,7.7548976,4.7585387,1.5648733,0.30281129,0.47338429,,,15420.0,12.06967,0.99795175,-0.2180841,3.4831655
ARG,2002,Female,25-34,3.2143366,9.2333221,14.648068,21.31097,51.593304,19.194695,35.4608,23.96616,8.8529282,5.6802258,2.1300259,0.46592543,0.47372547,,,14025.0,11.769704,0.98265052,-0.2143939,3.6707461
ARG,2003,Female,25-34,3.1154251,9.1432333,15.439997,22.168474,50.15443,19.209536,33.984119,22.804516,8.5187531,5.5426822,2.1181779,0.45176145,0.46465421,,,14888.0,11.818654,0.98232901,-0.26698759,3.4764171
ARG,2004,Female,25-34,3.551492,9.5026913,16.271935,22.688944,47.98494,20.320202,31.967451,21.113535,7.8547788,5.1247582,2.0134153,0.56666666,0.44161958,,,16670.0,11.945357,0.91136229,-0.27584296,3.2121527
ARG,2005,Female,25-34,3.9835246,10.292752,17.322355,23.366894,45.034473,22.084385,29.163021,18.676729,6.3056297,3.8567898,1.1994264,0.24614684,0.40952545,,,18400.0,12.045095,0.85796887,-0.30687141,3.2224967
ARG,2006,Female,25-34,4.1003389,10.470668,17.492769,23.734472,44.218964,22.466969,28.243713,17.873884,6.1332412,3.8626714,1.2880327,0.3913151,0.40138021,,,20291.0,12.149021,0.84609878,-0.32212946,3.1485164
ARG,2007,Female,25-34,4.170125,10.502682,17.583691,24.009129,43.750439,22.576565,27.589333,17.153931,5.6196189,3.4367392,1.0941607,0.25613871,0.39670855,,,21918.0,12.13936,0.84033906,-0.31741095,3.142941
ARG,2008,Female,25-34,4.1513968,10.588777,17.563904,23.758162,43.937759,22.702942,27.797901,17.388695,5.9273605,3.7617373,1.4186466,0.44324821,0.39753291,,,23380.0,12.232947,0.84408456,-0.31296867,3.1871867
ARG,2009,Female,25-34,4.2379518,10.812188,17.699196,24.011337,43.239326,23.054394,27.044319,16.629383,5.3196678,3.29897,1.1716083,0.34062406,0.3899391,,,23100.0,12.248243,0.83504063,-0.31976652,3.2108586
ARG,2010,Female,25-34,4.2968178,10.840514,17.688883,24.317432,42.871552,23.107681,26.576487,16.127132,4.8802385,2.8822761,0.86900705,0.16999893,0.3864527,,,23506.0,12.23073,0.8319661,-0.3111006,3.2084675
ARG,2011,Female,25-34,4.1862173,10.821597,17.762257,24.833382,42.411354,22.977959,26.043791,15.649413,4.6047902,2.6781471,0.77352262,0.15889718,0.38495731,,,24263.0,12.29183,0.84172463,-0.32290721,3.1509769
ARG,2012,Female,25-34,4.0210214,10.800674,17.837349,25.233595,42.122013,22.795729,25.76683,15.456534,4.6326513,2.7448547,0.84508693,0.19788063,0.38541162,,,24591.0,12.335268,0.86051619,-0.34464243,3.134326
ARG,2013,Female,25-34,4.0065346,10.702337,17.701731,25.247944,42.356178,22.587931,25.950481,15.605025,4.7077026,2.8290062,0.91801661,0.22938415,0.38818657,,,24416.0,12.331013,0.86068833,-0.33279359,3.117835
ARG,2014,Female,25-34,3.8357275,10.686347,17.673349,25.510443,42.30909,22.385572,25.794464,15.436402,4.6575127,2.7909098,0.82387424,0.15493798,0.39023045,,,24029.0,12.269659,0.87770098,-0.33915499,3.0334501
